id,name,role,salary
3,Charlie,Manager,80000
2,Employee 2,Manager,62000
7,Employee 7,Manager,67000
12,Employee 12,Manager,62000
17,Employee 17,Manager,67000
22,Employee 22,Manager,62000
27,Employee 27,Manager,67000
32,Employee 32,Manager,62000
37,Employee 37,Manager,67000
42,Employee 42,Manager,62000
47,Employee 47,Manager,67000
52,Employee 52,Manager,62000
57,Employee 57,Manager,67000
62,Employee 62,Manager,62000
67,Employee 67,Manager,67000
72,Employee 72,Manager,62000
77,Employee 77,Manager,67000
82,Employee 82,Manager,62000
87,Employee 87,Manager,67000
92,Employee 92,Manager,62000
97,Employee 97,Manager,67000
102,Employee 102,Manager,62000
107,Employee 107,Manager,67000
112,Employee 112,Manager,62000
117,Employee 117,Manager,67000
122,Employee 122,Manager,62000
127,Employee 127,Manager,67000
132,Employee 132,Manager,62000
137,Employee 137,Manager,67000
142,Employee 142,Manager,62000
147,Employee 147,Manager,67000
152,Employee 152,Manager,62000
157,Employee 157,Manager,67000
162,Employee 162,Manager,62000
167,Employee 167,Manager,67000
172,Employee 172,Manager,62000
177,Employee 177,Manager,67000
182,Employee 182,Manager,62000
187,Employee 187,Manager,67000
192,Employee 192,Manager,62000
197,Employee 197,Manager,67000
202,Employee 202,Manager,62000
207,Employee 207,Manager,67000
212,Employee 212,Manager,62000
217,Employee 217,Manager,67000
222,Employee 222,Manager,62000
227,Employee 227,Manager,67000
232,Employee 232,Manager,62000
237,Employee 237,Manager,67000
242,Employee 242,Manager,62000
247,Employee 247,Manager,67000
252,Employee 252,Manager,62000
257,Employee 257,Manager,67000
262,Employee 262,Manager,62000
267,Employee 267,Manager,67000
272,Employee 272,Manager,62000
277,Employee 277,Manager,67000
282,Employee 282,Manager,62000
287,Employee 287,Manager,67000
292,Employee 292,Manager,62000
297,Employee 297,Manager,67000
302,Employee 302,Manager,62000
307,Employee 307,Manager,67000
312,Employee 312,Manager,62000
317,Employee 317,Manager,67000
322,Employee 322,Manager,62000
327,Employee 327,Manager,67000
332,Employee 332,Manager,62000
337,Employee 337,Manager,67000
342,Employee 342,Manager,62000
347,Employee 347,Manager,67000
352,Employee 352,Manager,62000
357,Employee 357,Manager,67000
362,Employee 362,Manager,62000
367,Employee 367,Manager,67000
