id,name,role,salary
2,Bob,Designer,65000
1,Employee 1,Designer,61000
6,Employee 6,Designer,66000
11,Employee 11,Designer,61000
16,Employee 16,Designer,66000
21,Employee 21,Designer,61000
26,Employee 26,Designer,66000
31,Employee 31,Designer,61000
36,Employee 36,Designer,66000
41,Employee 41,Designer,61000
46,Employee 46,Designer,66000
51,Employee 51,Designer,61000
56,Employee 56,Designer,66000
61,Employee 61,Designer,61000
66,Employee 66,Designer,66000
71,Employee 71,Designer,61000
76,Employee 76,Designer,66000
81,Employee 81,Designer,61000
86,Employee 86,Designer,66000
91,Employee 91,Designer,61000
96,Employee 96,Designer,66000
101,Employee 101,Designer,61000
106,Employee 106,Designer,66000
111,Employee 111,Designer,61000
116,Employee 116,Designer,66000
121,Employee 121,Designer,61000
126,Employee 126,Designer,66000
131,Employee 131,Designer,61000
136,Employee 136,Designer,66000
141,Employee 141,Designer,61000
146,Employee 146,Designer,66000
151,Employee 151,Designer,61000
156,Employee 156,Designer,66000
161,Employee 161,Designer,61000
166,Employee 166,Designer,66000
171,Employee 171,Designer,61000
176,Employee 176,Designer,66000
181,Employee 181,Designer,61000
186,Employee 186,Designer,66000
191,Employee 191,Designer,61000
196,Employee 196,Designer,66000
201,Employee 201,Designer,61000
206,Employee 206,Designer,66000
211,Employee 211,Designer,61000
216,Employee 216,Designer,66000
221,Employee 221,Designer,61000
226,Employee 226,Designer,66000
231,Employee 231,Designer,61000
236,Employee 236,Designer,66000
241,Employee 241,Designer,61000
246,Employee 246,Designer,66000
251,Employee 251,Designer,61000
256,Employee 256,Designer,66000
261,Employee 261,Designer,61000
266,Employee 266,Designer,66000
271,Employee 271,Designer,61000
276,Employee 276,Designer,66000
281,Employee 281,Designer,61000
286,Employee 286,Designer,66000
291,Employee 291,Designer,61000
296,Employee 296,Designer,66000
301,Employee 301,Designer,61000
306,Employee 306,Designer,66000
311,Employee 311,Designer,61000
316,Employee 316,Designer,66000
321,Employee 321,Designer,61000
326,Employee 326,Designer,66000
331,Employee 331,Designer,61000
336,Employee 336,Designer,66000
341,Employee 341,Designer,61000
346,Employee 346,Designer,66000
351,Employee 351,Designer,61000
356,Employee 356,Designer,66000
361,Employee 361,Designer,61000
366,Employee 366,Designer,66000
